id_capacidad|habitaciones|camas|id_sub_act|id_categoria|cod_canton
734|17|28|20|23|2105
735|12|20|17|23|2202
736|26|34|17|24|2203
737|12|24|17|23|2203
738|94|155|17|22|2203
739|33|88|17|23|2203
740|4|8|19|25|2203
741|69|88|20|24|2203
742|224|395|20|23|2203
743|53|84|17|23|2204
744|113|231|17|22|2204
745|46|63|17|23|2204
746|6|12|19|25|2204
747|30|30|20|24|2204
748|11|22|8|21|2201
749|24|30|17|24|2201
750|222|391|17|23|2201
751|555|937|17|22|2201
752|89|160|17|23|2201
753|64|104|19|24|2201
754|145|176|20|26|2201
755|81|111|20|25|2201
756|184|344|20|24|2201
757|274|537|20|23|2201
758|91|155|17|22|0808
759|34|57|20|23|0808
760|10|25|8|21|2301
761|95|171|17|24|2301
762|212|419|17|23|2301
763|1073|1749|17|22|2301
764|53|118|19|25|2301
765|91|220|19|24|2301
766|211|3354|20|25|2301
767|88|148|20|24|2301
768|479|791|20|23|2301
769|4|10|9|21|2402
770|32|114|17|24|2402
771|47|85|17|23|2402
772|92|219|17|22|2402
773|39|73|20|25|2402
774|72|219|20|24|2402
775|149|316|20|23|2402
776|4|4|8|21|2403
777|19|47|9|21|2403
778|254|512|17|24|2403
779|236|505|17|23|2403
780|460|1242|17|22|2403
781|16|50|17|24|2403
782|19|46|17|23|2403
783|117|231|19|24|2403
784|129|307|20|26|2403
785|166|296|20|25|2403
786|349|871|20|24|2403
787|685|1830|20|23|2403
788|74|181|9|21|2401
789|180|375|17|24|2401
790|368|893|17|23|2401
791|953|2650|17|22|2401
792|14|25|17|24|2401
793|14|32|17|23|2401
794|18|55|19|25|2401
795|375|1080|19|24|2401
796|89|221|20|25|2401
797|165|460|20|24|2401
798|445|1314|20|23|2401
799|198|456|29|26|2401
